ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.792117536,1.096958904,1.135658904,0.0387,71.42146018,66.44358407,77.50553097,11.0619469,2.732569771,-257.1091963,1.519511204,-105.6057513,0.317179406,73.08075221
2,Downward,TRUE,0.781784534,1.338634408,1.380970408,0.042336,75.45578063,70.02099802,77.43206522,7.411067194,1.986244866,-147.2966466,1.154221248,-92.38344605,0.63583358,76.93799407
3,2Syllabes,TRUE,0.675423026,1.55874645,1.64402645,0.08528,75.47533525,68.2914272,99.90062261,31.6091954,9.453916745,229.6746116,3.508506824,-94.59262511,0.430691544,95.11135057
4,Downward,TRUE,0.842822552,1.775033894,1.830233894,0.0552,73.35597826,64.66032609,77.70380435,13.04347826,2.88332751,-161.1016365,1.338871597,-94.72948453,0.533194244,72.26902174
5,Downward,TRUE,0.781744897,1.857505828,1.863217828,0.005712,86.11519608,83.05147059,88.56617647,5.514705882,2.263249908,-893.944179,2.067189619,-103.2628186,0.413627402,83.05147059
6,2Syllabes,TRUE,0.678071678,2.003969909,2.057249909,0.05328,74.38060538,61.4882287,87.83352018,26.34529148,3.890258373,-129.5186714,1.893872169,-94.6553363,0.500927295,71.5779148
7,Downward,TRUE,0.837701082,2.251841325,2.304761325,0.05292,71.10119048,56.2202381,76.45833333,20.23809524,5.477109226,-330.7364994,1.604653699,-97.21959685,0.474042823,68.7202381
8,Downward,TRUE,0.690457344,2.443737291,2.515417291,0.07168,73.22916667,58.78472222,76.5625,17.77777778,4.359787243,-188.1472019,1.49990257,-97.91179399,0.425261515,75.45138889
9,Downward,TRUE,0.850867748,2.678224925,2.728336925,0.050112,73.84360599,58.2906106,77.29982719,19.00921659,4.38055144,-261.6181462,1.177432962,-98.03426357,0.438553283,75.57171659
10,2Syllabes,TRUE,0.651582897,2.899320712,2.973448712,0.074128,76.11784141,66.20594714,93.18832599,26.98237885,6.809902822,166.5440176,1.822322332,-96.8581505,0.404740699,93.18832599
11,2Syllabes,TRUE,0.629826248,3.114792394,3.192744394,0.077952,73.81740196,65.23897059,96.48897059,31.25,8.766335732,240.8856173,1.662440909,-96.41316585,0.437144538,95.87622549
12,2Syllabes,TRUE,0.634968996,3.329903833,3.394843833,0.06494,73.60765707,59.20975131,95.20451571,35.9947644,7.483536128,108.8881648,1.788874159,-98.35217916,0.377582085,69.6809555
13,Complex,TRUE,0.725668073,3.574859793,3.600963793,0.026104,74.72609562,71.73804781,76.22011952,4.482071713,1.328851002,-87.89945181,1.307406111,-95.08790359,0.573315343,75.22410359
14,Downward,TRUE,0.703855991,3.802231134,3.807351134,0.00512,65.46875,61.5625,68.59375,7.03125,2.524833259,-996.9075521,1.992297001,-98.39163367,0.553347158,68.59375
15,Downward,TRUE,0.644122839,6.629527585,6.665323585,0.035796,69.21281646,48.6431962,73.9596519,25.3164557,7.503117587,-648.1875695,1.588299641,-101.2281152,0.403451837,67.63053797
16,Downward,TRUE,0.78072083,6.852079719,6.893967719,0.041888,71.913777,46.98026636,74.90579828,27.92553191,8.631646911,-621.2541002,1.315847809,-100.6775317,0.356803306,73.57601104
17,2Syllabes,TRUE,0.789157033,7.100675011,7.139227011,0.038552,72.51186709,59.85363924,74.09414557,14.24050633,3.579655101,-269.3939962,1.10044726,-97.45868483,0.364230408,70.92958861
18,2Syllabes,TRUE,0.783999562,7.363498314,7.397998314,0.0345,67.80257937,53.91369048,111.453373,57.53968254,10.37674214,-524.0590413,3.407536319,-98.80771474,0.364329056,71.77083333
19,Downward,TRUE,0.831064582,7.927766151,7.969430151,0.041664,71.88646789,58.6983945,74.18004587,15.48165138,4.176015485,-280.2800611,1.472893927,-94.2190726,0.567066107,69.01949541
20,Downward,TRUE,0.688575923,8.183282193,8.232446193,0.049164,73.85072314,62.48708678,79.53254132,17.04545455,3.757818111,-116.5140812,2.790293897,-90.02433142,0.685642367,67.65237603
