ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.808061719,4.604677942,4.636421942,0.031744,72.40029183,66.80690661,74.58900778,7.782101167,2.418387818,-197.2660752,1.572407883,-100.8136014,0.443195317,73.12986381
2,Upward,TRUE,0.661491871,4.798816695,4.811856695,0.01304,69.39786585,64.82469512,74.73323171,9.908536585,4.027666459,915.3905549,1.232486306,-101.5992566,0.453782248,73.97103659
3,2Syllabes,TRUE,0.588350773,6.28311234,6.31357634,0.030464,69.95973492,66.29673126,75.45424042,9.157509158,2.670994679,138.2309188,2.590066872,-104.4941605,0.289123973,72.70698767
4,Downward,TRUE,0.759329379,6.443928508,6.476024508,0.032096,70.01059322,64.18432203,72.12923729,7.944915254,2.628917067,-214.6883603,1.429521838,-95.89407422,0.581035698,72.12923729
5,Downward,TRUE,0.859322369,6.577363542,6.624175542,0.046812,70.91616466,65.14307229,77.69327309,12.5502008,3.245941676,-221.5637982,1.356316055,-88.47758718,0.663486254,73.1752008
6,Downward,TRUE,0.806536674,6.721475276,6.767843276,0.046368,70.90838509,69.35559006,73.6257764,4.270186335,1.406122142,-79.60070125,1.395183025,-78.41348559,0.807931954,73.23757764
7,Downward,TRUE,0.723023176,6.871966375,6.925246375,0.05328,69.31712963,67.63362795,76.47201178,8.838383838,1.908759411,-124.2882349,1.264289035,-89.8342504,0.669217818,71.84238215
8,Upward,TRUE,0.728660226,7.048286228,7.066910228,0.018624,70.44070513,67.87660256,73.64583333,5.769230769,1.712870412,280.2263161,1.241726894,-93.33031203,0.627693969,73.64583333
9,Complex,TRUE,0.571061432,10.41291036,10.41921436,0.006304,65.41243655,65.09517766,66.3642132,1.269035533,0.518081587,15.05094564,1.170718289,-110.0839303,0.23868251,65.72969543
10,Upward,TRUE,0.529912651,10.5944853,10.5982253,0.00374,73.37101064,68.0518617,75.36569149,7.313829787,3.109162751,2133.348504,1.059933354,-104.6931181,0.329926237,74.03590426
11,Upward,TRUE,0.62706542,10.90273716,10.91626516,0.013528,75.49406425,72.00244413,79.68400838,7.681564246,2.402811671,134.6185326,1.442040028,-99.65796896,0.525554392,74.0974162
12,Chevron,TRUE,0.664319158,11.51455946,11.53241546,0.017856,73.17406213,67.82646855,75.84785892,8.021390374,1.637359454,-141.6791621,1.407520536,-84.69581185,0.757007624,73.17406213
13,Upward,TRUE,1,11.54511439,11.54991439,0.0048,75.13653109,68.91762561,77.00220273,8.084577114,2.662776239,1415.911514,1.093716896,-96.29940963,0.466010187,75.13653109
14,Upward,TRUE,0.669725895,11.68408715,11.69112715,0.00704,71.25,65.56818182,72.67045455,7.102272727,2.15635361,412.7095464,2.337896983,-93.66355331,0.58280666,71.25
15,Downward,TRUE,0.826192439,13.8298407,13.8500247,0.020184,69.73214286,63.30357143,73.30357143,10,2.212205708,-317.1285007,1.181989846,-95.12298051,0.597252464,70.44642857
16,Downward,TRUE,0.637939632,14.00539666,14.03066866,0.025272,72.57172131,70.0102459,76.15778689,6.147540984,1.093771542,-70.14496743,1.353949906,-88.50067889,0.72654057,72.57172131
17,Downward,TRUE,0.809323072,14.15048375,14.18691575,0.036432,71.45645307,66.04129061,73.71277076,7.671480144,1.808068103,-141.1431998,1.287503126,-91.43967451,0.664487987,71.00518953
18,Complex,TRUE,0.776647806,14.32517208,14.36606808,0.040896,72.01754386,65.43859649,72.89473684,7.456140351,1.972803545,-84.55268355,1.639029306,-102.4518045,0.410446727,71.14035088
19,Complex,TRUE,0.778596878,14.48864377,14.52978777,0.041144,70.33490143,67.19870072,72.12701613,4.928315412,1.684186668,-102.3680807,1.378604681,-90.93442132,0.666751202,71.67898746
20,Downward,TRUE,0.889058352,14.63070302,14.68050302,0.0498,70.28614458,62.25401606,74.80421687,12.5502008,3.58880155,-196.2273123,1.592617696,-88.75643387,0.687389992,73.29819277
21,Complex,TRUE,0.733117342,14.79489514,14.83607914,0.041184,73.34316038,67.68278302,75.70165094,8.018867925,2.114593143,-98.49752432,1.667342191,-86.25701555,0.669370336,74.75825472
22,Downward,TRUE,0.654771864,14.95872544,15.00299344,0.044268,70.98214286,57.73329493,74.43836406,16.70506912,3.994342322,-191.9870047,1.888701875,-92.69865311,0.604355727,72.71025346
23,Downward,TRUE,0.738092422,15.4518084,15.4689684,0.01716,70.47831633,62.8252551,70.47831633,7.653061224,1.84045816,-204.4086866,1.352054241,-94.99057934,0.614933702,70.47831633
24,Downward,TRUE,0.779041767,15.62013305,15.64982905,0.029696,71.21915236,63.17194206,72.29211373,9.120171674,2.450468332,-201.1385227,1.255160719,-85.79620677,0.735015615,71.75563305
25,Downward,TRUE,0.823408306,15.78591578,15.82934378,0.043428,70.25862069,58.40517241,72.95258621,14.54741379,3.719174988,-241.3270366,1.320118504,-90.78519714,0.650253451,70.79741379
26,Downward,TRUE,0.917898357,15.95567536,16.00925536,0.05358,70.4587766,55.56515957,73.65026596,18.08510638,4.579079671,-223.6557231,1.871546885,-88.43710769,0.67187982,68.86303191
27,Downward,TRUE,0.890898466,16.12108182,16.17868182,0.0576,70.625,55,73.22916667,18.22916667,4.803759637,-174.8964393,2.692946846,-84.569192,0.71724778,71.66666667
28,Downward,TRUE,0.914345622,16.29457948,16.34221148,0.047632,72.10597826,62.32336957,74.2798913,11.95652174,2.988108415,-188.7304537,1.182160963,-81.9514248,0.792694446,72.10597826
29,Downward,TRUE,0.775586367,16.47055417,16.50338617,0.032832,71.62117904,62.88755459,72.16703057,9.279475983,2.085845905,-152.9649319,1.218798054,-92.61141509,0.632506962,72.16703057
30,Downward,TRUE,0.69984293,16.6489217,16.6778657,0.028944,72.01423267,56.54393564,73.25185644,16.70792079,4.767376407,-383.5559561,1.326415148,-92.16262679,0.621350205,73.25185644
31,Downward,TRUE,0.711930096,16.99548897,17.01396897,0.01848,70.71572581,60.23185484,71.52217742,11.29032258,2.686688504,-337.391664,1.187284483,-93.46189539,0.636737465,69.90927419
32,Downward,TRUE,0.702277601,18.17768979,18.19627379,0.018584,71.43318966,64.04402709,72.66471675,8.620689655,2.50069405,-321.4004737,1.282449935,-88.65180529,0.718047562,72.0489532
33,Downward,TRUE,0.528775215,20.03680472,20.04484472,0.00804,61.83168317,58.73762376,64.92574257,6.188118812,2.232717673,-104.9545253,2.307037361,-107.4445098,0.330801678,61.83168317
