ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.745146275,0.020716,0.065952,0.045236,74.45075758,69.71590909,77.76515152,8.049242424,2.425546026,-170.1679148,1.178361833,-87.40323548,0.701335378,73.97727273
2,Complex,TRUE,0.74720329,0.220404007,0.270084007,0.04968,66.16847826,58.55978261,68.3423913,9.782608696,2.157934249,-28.89753599,1.285430589,-76.04657231,0.814570573,67.79891304
3,Upward,TRUE,0.767723083,0.432721739,0.472577739,0.039856,68.07193396,56.86910377,72.19929245,15.33018868,3.606052831,-290.7816643,1.127548049,-69.70322255,0.845475358,71.02004717
4,Downward,TRUE,0.737926722,0.6624439,0.6879639,0.02552,63.24660633,56.45927602,65.50904977,9.049773756,2.537036792,-311.1460286,1.141345984,-75.436768,0.844538965,63.24660633
5,Downward,TRUE,0.73417443,0.860335506,0.916979506,0.056644,59.96767241,51.99353448,71.82112069,19.82758621,4.766033719,-19.10440826,3.910974088,-83.34121071,0.720974779,62.76939655
6,Complex,TRUE,0.726296782,1.09104751,1.12248751,0.03144,58.20342205,54.87642586,62.95627376,8.079847909,2.350113955,-142.4553482,1.366956342,-73.97491519,0.796348115,59.1539924
7,2Syllabes,TRUE,0.776211858,1.301375509,1.335119509,0.033744,55.00844595,50.50394144,60.63907658,10.13513514,3.02574223,-182.8020244,1.763210866,-85.46527772,0.631427294,58.94988739
8,Downward,TRUE,0.766694963,1.514957172,1.544877172,0.02992,52.95454545,46.13636364,55.79545455,9.659090909,2.853486292,-300.5851101,1.111840162,-96.87260909,0.548268477,54.09090909
9,Downward,TRUE,0.719788313,3.680233907,3.695533907,0.0153,68.33198052,62.24431818,70.3612013,8.116883117,2.804732556,-576.3118508,1.082311746,-101.4699754,0.404649324,69.54951299
10,Downward,TRUE,0.742038786,4.334141551,4.370949551,0.036808,71.80959302,59.01889535,77.04215116,18.02325581,4.15947365,-226.2085991,2.021965271,-97.61946858,0.511902668,66.57703488
