ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Frequency_Step,TRUE,0.595266163,0.099218496,0.140090496,0.040872,72.2519084,47.44274809,99.92366412,52.48091603,17.7855765,459.2812006,4.430167318,-92.40868116,0.468869234,87.51908397
2,2Syllabes,TRUE,0.679201007,0.263808003,0.303852003,0.040044,64.4278169,58.26584507,90.83626761,32.57042254,6.089704137,107.8314545,1.474240561,-73.30754904,0.762312751,64.4278169
3,Upward,TRUE,0.730330706,0.420992086,0.446048086,0.025056,66.61866359,58.55414747,68.34677419,9.792626728,2.623427677,188.8144571,1.900138694,-78.66059706,0.794885391,66.61866359
4,Upward,TRUE,0.805839717,0.575404055,0.595892055,0.020488,69.5463198,61.29758883,70.18083756,8.883248731,1.997353879,137.6454003,1.408797468,-77.46073899,0.853505622,70.18083756
5,2Syllabes,TRUE,0.641915083,1.901408357,1.949656357,0.048248,62.7820122,49.82469512,87.1722561,37.34756098,12.13932648,607.5039007,2.11757489,-101.6287481,0.336197685,62.7820122
6,2Syllabes,TRUE,0.716155171,2.078176339,2.098048339,0.019872,92.45885566,61.49555291,98.19280062,36.69724771,11.0454623,-1224.226073,1.530206236,-103.389499,0.305669025,98.19280062
7,2Syllabes,TRUE,0.76289326,2.211952387,2.271472387,0.05952,64.48924731,47.68817204,85.99462366,38.30645161,9.874117493,112.9524353,3.400285015,-95.30899653,0.443533429,66.50537634
8,2Syllabes,TRUE,0.692447543,2.376444397,2.423812397,0.047368,65.44270833,47.21354167,71.953125,24.73958333,6.084366306,-292.1898389,2.599581995,-89.5042213,0.654743093,66.74479167
9,2Syllabes,TRUE,0.713522613,2.570780445,2.616420445,0.04564,60.45053681,48.18059816,65.0517638,16.87116564,5.708728597,-386.6530088,1.540077635,-101.6871531,0.268887492,52.78182515
10,Complex,TRUE,0.757454872,2.74959252,2.77695252,0.02736,94.76017442,88.21947674,99.84738372,11.62790698,4.095074163,-313.3794616,1.4943596,-98.78235205,0.495303526,97.66715116
