ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.791488349,0.236692,0.275732,0.03904,72.1619898,63.99872449,75.22321429,11.2244898,2.874964418,-207.4607475,1.399607795,-92.48946145,0.601207294,69.10076531
2,Downward,TRUE,0.801784277,0.450278097,0.484142097,0.033864,74.4375,66.9375,76.4375,9.5,2.658978764,-239.3326809,1.478708066,-92.83527082,0.621264326,75.4375
3,Downward,TRUE,0.837577641,19.53929544,19.57235544,0.03306,69.86888112,65.93531469,71.61713287,5.681818182,1.625171194,-153.6112932,1.21725452,-91.11750995,0.601993606,68.99475524
4,Complex,TRUE,0.693166971,19.71079551,19.76065551,0.04986,70.13763538,68.33258123,73.74774368,5.415162455,1.523033433,-96.07929294,1.160659074,-87.07696261,0.677674651,73.29648014
5,Complex,TRUE,0.74440968,19.91976985,19.97505385,0.055284,71.62915357,64.73577122,75.76518298,11.02941176,2.393400718,-107.9684674,1.829869935,-94.22005928,0.563675633,75.30562416
6,Downward,TRUE,0.806185007,20.14026095,20.18920495,0.048944,71.28095975,68.18498452,73.60294118,5.417956656,1.567836917,-103.1550578,1.232298656,-94.814231,0.554945826,73.60294118
7,Downward,TRUE,0.841252208,20.34973287,20.40524487,0.055512,71.05564678,57.00525919,74.44711965,17.44186047,3.892044743,-135.8812213,2.216613868,-95.08275173,0.51243165,73.4781274
8,2Syllabes,TRUE,0.754719794,20.55988788,20.59642788,0.03654,71.798591,54.79667529,80.17981706,25.38314176,3.828755993,-260.1312219,2.058549095,-97.01493181,0.450367432,73.47483621
9,Downward,TRUE,0.768420875,20.76456149,20.80723349,0.042672,73.06372549,65.22058824,77.4754902,12.25490196,2.617007207,-188.9250148,1.225851833,-92.09758256,0.64517314,72.08333333
10,Chevron,TRUE,0.875451148,20.9720641,21.0155761,0.043512,73.32399103,60.99215247,74.44506726,13.4529148,3.561845991,-220.8191482,1.183501293,-92.63873123,0.593685084,72.2029148
11,Downward,TRUE,1,21.20347957,21.20751157,0.004032,67.27387759,66.2857353,67.27387759,0.988142292,0.441910667,-245.0749733,1.079669128,-108.2364279,0.234786636,67.27387759
12,Downward,TRUE,0.617670059,21.41444706,21.43595106,0.021504,69.77046226,63.65935115,70.88157337,7.222222222,2.239056606,-306.2042125,1.175287681,-99.76617288,0.399336012,70.32601781
13,Downward,TRUE,0.774504066,21.62472587,21.65527787,0.030552,69.13360203,57.93957218,71.62116422,13.68159204,4.243957624,-423.5437011,1.166951191,-99.79243904,0.432888576,70.99927367
14,Downward,TRUE,0.838826239,21.80608005,21.85320405,0.047124,72.36201299,59.91612554,74.52651515,14.61038961,3.596350648,-167.020352,1.888098604,-90.62755484,0.655469365,73.44426407
15,Downward,TRUE,0.784032941,29.66704273,29.69059073,0.023548,70.18780788,63.72229064,74.80603448,11.08374384,2.475810092,-271.3165209,1.753606485,-94.25417676,0.627125167,71.1114532
16,Downward,TRUE,0.75565058,29.86684664,29.89034264,0.023496,74.29818436,65.91829609,74.99650838,9.078212291,2.646785439,-304.3717395,1.108259163,-100.0914709,0.465589092,72.20321229
