ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Composite,TRUE,0.764984131,0.264788011,0.288328011,0.02354,93.36036896,46.48536896,97.41129488,50.92592593,9.01593771,-695.1867656,1.707851486,-91.91496872,0.564818397,86.99462822
2,Composite,TRUE,0.654982269,0.465004539,0.513080539,0.048076,64.59821429,43.06460084,109.2410714,66.17647059,15.5067989,73.20903247,3.577870743,-89.78597071,0.570418931,68.27468487
3,Composite,TRUE,0.664190054,0.654872555,0.714344555,0.059472,68.40305118,45.76525591,116.6313976,70.86614173,14.8830964,250.8065373,4.345772021,-88.58834295,0.620181969,69.38730315
4,Composite,TRUE,0.734113991,0.865497042,0.921225042,0.055728,67.1875,45.07211538,110.4567308,65.38461538,11.65249526,-50.02691956,2.409648316,-83.14150822,0.662555549,69.11057692
5,2Syllabes,TRUE,0.680018425,1.072797074,1.123181074,0.050384,66.74906716,44.36100746,100.3311567,55.97014925,17.24724932,676.7546063,3.154398363,-88.36601814,0.631095919,66.74906716
6,2Syllabes,TRUE,0.661008,1.26674104,1.31274904,0.046008,65.54414336,50.6840035,95.26442308,44.58041958,11.22545031,146.1554907,2.257390168,-91.72550534,0.54158843,66.41826923
7,2Syllabes,TRUE,0.732266843,1.45647762,1.49265762,0.03618,64.99775483,46.61540189,87.975696,41.36029412,8.144188609,46.48741773,1.938931564,-92.72029942,0.524957,65.91687247
8,Downward,TRUE,0.550337672,1.660368518,1.705728518,0.04536,66.89911855,44.1090633,75.18641137,31.07734807,5.894806678,-312.3632225,2.042680291,-98.77144975,0.339640977,68.97094176
9,2Syllabes,TRUE,0.953036487,1.85810215,1.91375015,0.055648,64.35810811,53.37837838,87.16216216,33.78378378,5.330832325,-234.5714441,1.451121495,-91.27031117,0.528476829,66.89189189
10,2Syllabes,TRUE,0.746977448,2.063462225,2.087662225,0.0242,66.90340909,61.22159091,116.9034091,55.68181818,13.61125197,590.4953029,2.895994509,-89.52773545,0.622477262,66.90340909
