ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.677374303,0.194435998,0.224675998,0.03024,91.82911927,78.7362339,94.54651058,15.81027668,5.396016973,-477.698213,2.82323309,-103.6638015,0.298823103,92.07615484
2,Frequency_Step,TRUE,0.688310385,0.343560013,0.377924013,0.034364,64.89669421,54.5661157,105.1859504,50.61983471,18.1522033,839.7704633,2.408344664,-97.31731097,0.430294554,63.86363636
3,2Syllabes,TRUE,0.810081124,0.517830086,0.534966086,0.017136,67.74350649,64.49675325,96.1525974,31.65584416,8.395879268,664.4507333,3.383200143,-94.25654459,0.510044183,70.99025974
4,Complex,TRUE,0.652006507,0.681003881,0.688011881,0.007008,95.69090136,91.43920068,101.6432823,10.20408163,3.391808058,-336.0142793,2.201760298,-95.54602999,0.550426545,99.0922619
5,Frequency_Step,TRUE,0.667265236,0.811783741,0.870215741,0.058432,68.09659091,56.02272727,102.8977273,46.875,12.90851799,404.3763935,4.106661532,-95.64970585,0.442433008,95.08522727
6,Composite,TRUE,1,1.037277026,1.050213026,0.012936,67.96173292,63.90329137,93.12407059,29.22077922,10.46203056,723.9404761,6.541012944,-91.55895624,0.476840336,68.77342124
7,Complex,TRUE,0.695216298,1.176807052,1.214823052,0.038016,89.33453492,78.33916455,98.59379418,20.25462963,6.215419296,237.6856712,3.320975329,-90.51939969,0.537439923,98.01509047
8,2Syllabes,TRUE,0.69223398,1.327953303,1.355233303,0.02728,72.51008065,64.44556452,110.8165323,46.37096774,12.20136963,-672.0217098,2.711066589,-94.57961433,0.514818466,72.51008065
9,Frequency_Step,TRUE,0.612312853,1.499911549,1.521251549,0.02134,71.47959184,62.55102041,105.9183673,43.36734694,14.50148595,-451.6911895,2.863626547,-94.63012639,0.535890537,72.75510204
10,Downward,TRUE,0.573903739,1.800355405,1.866883405,0.066528,62.31481481,46.68981481,69.83796296,23.14814815,6.598110205,-176.7897755,2.007056001,-100.0722196,0.362728046,69.25925926
11,2Syllabes,TRUE,0.686327577,1.99919941,2.05289941,0.0537,67.01388889,58.33333333,90.27777778,31.94444444,6.074590725,-94.00617678,2.361708601,-88.87629646,0.611214409,68.05555556
12,Complex,TRUE,1,2.191547949,2.218539949,0.026992,64.59781717,58.91599899,73.89533783,14.97933884,3.601133255,278.2032416,2.982676465,-96.02787932,0.476243014,70.27963535
13,Complex,TRUE,0.677551448,2.511003292,2.553971292,0.042968,63.14163498,56.72528517,65.28041825,8.55513308,2.327137049,-116.1743128,1.429632007,-93.12766455,0.525840968,63.37927757
14,2Syllabes,TRUE,0.821399748,2.69204309,2.72906709,0.037024,69.29818436,60.91829609,91.64455307,30.72625698,6.400383614,117.4388298,1.865601952,-87.53616436,0.657117097,65.80656425
15,2Syllabes,TRUE,0.531171203,2.855555094,2.901187094,0.045632,65.71790541,63.0152027,92.06925676,29.05405405,5.804493862,-9.298479944,3.198705505,-100.0318679,0.354778154,92.06925676
16,2Syllabes,TRUE,0.674207389,3.042147006,3.082467006,0.04032,66.01299132,56.69622114,67.56578635,10.86956522,3.969330355,-286.2383185,1.103109051,-103.0387315,0.256403255,63.68379878
17,Upward,TRUE,0.526154578,3.211927119,3.216631119,0.004704,69.21556122,64.11352041,70.06590136,5.952380952,2.508143062,1349.249287,1.039816948,-97.80182794,0.564604692,69.21556122
18,Downward,TRUE,0.761011481,3.51109891,3.53775891,0.02666,70.64814815,64.86111111,72.38425926,7.523148148,2.19504205,-159.8410966,1.338823883,-93.72569795,0.641832198,71.22685185
19,Composite,TRUE,0.589043677,3.544114975,3.569194975,0.02508,90.0951087,56.39945652,97.70380435,41.30434783,15.12786867,-1135.40915,2.428340969,-100.5900904,0.366499813,60.74728261
20,2Syllabes,TRUE,0.679168582,3.887822647,3.904998647,0.017176,93.51973684,61.72149123,99.00219298,37.28070175,13.93074544,-2169.529149,1.745889302,-99.33274603,0.467585923,70.49342105
21,2Syllabes,TRUE,0.596910834,4.042450543,4.059298543,0.016848,99.4065367,65.00286697,105.1404817,40.13761468,16.7260447,-2272.485296,1.717623699,-104.3891236,0.305191649,105.1404817
22,Upward,TRUE,0.515073299,4.349794524,4.365250524,0.015456,105.1571746,97.02107988,105.8968195,8.875739645,4.071407972,69.20050953,1.738736109,-108.5765705,0.204032531,105.1571746
23,Complex,TRUE,0.586910129,4.982938167,5.000686167,0.017748,92.24431818,89.80925325,104.4196429,14.61038961,3.441612131,354.3652942,1.445227001,-92.04013951,0.662109273,93.05600649
24,Upward,TRUE,0.540528178,5.918981921,5.923545921,0.004564,87.66006098,82.32469512,92.23323171,9.908536585,3.380115522,871.9671641,4.506579082,-106.0368425,0.420128112,91.47103659
25,2Syllabes,TRUE,0.61504066,6.084722088,6.139478088,0.054756,68.74075444,59.12536982,90.93010355,31.80473373,6.193376159,-15.27838873,2.261460986,-89.79923774,0.593831399,70.22004438
26,2Syllabes,TRUE,0.637565196,6.276880151,6.312284151,0.035404,65.26581243,61.54557434,93.53962196,31.99404762,8.930087819,442.8202866,2.993211345,-95.39410084,0.516034339,93.53962196
27,Complex,TRUE,0.686036885,6.445025928,6.462689928,0.017664,94.83108108,94.15540541,97.53378378,3.378378378,1.069760548,120.7572539,1.205786682,-83.71911615,0.788686945,95.50675676
28,Frequency_Step,TRUE,0.573751926,6.605065851,6.651357851,0.046292,80.10927914,62.47124233,97.74731595,35.27607362,12.21627245,576.5939636,2.514992145,-98.82277413,0.411206956,93.14608896
29,2Syllabes,TRUE,0.595602632,6.758953638,6.807953638,0.049,69.41964286,61.5625,103.7053571,42.14285714,8.949240233,-411.6193761,1.852680415,-91.91707893,0.532766484,70.84821429
30,Complex,TRUE,0.612899959,6.956713497,6.988633497,0.03192,94.31575829,85.42950237,103.7944313,18.36492891,3.896303651,95.65245597,1.690677997,-88.62775653,0.67109444,96.09300948
31,Downward,TRUE,0.615104914,7.113701478,7.156453478,0.042752,93.24404762,78.36309524,105.1488095,26.78571429,7.468094204,-525.1812185,1.427017409,-89.84664082,0.641274942,96.96428571
32,2Syllabes,TRUE,0.644030213,7.308569494,7.340193494,0.031624,67.69675926,61.21527778,104.7337963,43.51851852,12.09780723,-942.4067646,1.732885615,-99.80732141,0.381763804,69.54861111
33,Complex,TRUE,0.584396899,7.468077259,7.516237259,0.04816,89.02777778,78.03240741,97.70833333,19.67592593,5.570714885,-307.6998522,1.549163292,-97.41503808,0.438954445,83.81944444
34,Upward,TRUE,0.78767848,7.650425594,7.672489594,0.022064,91.40228426,82.51903553,92.6713198,10.15228426,2.79468989,339.1467395,1.669816793,-80.73023282,0.816865432,92.6713198
35,2Syllabes,TRUE,0.650671542,7.820945202,7.857113202,0.036168,67.53649635,59.32481752,95.82116788,36.49635036,13.42004249,864.7155818,2.702707992,-95.64150804,0.493079415,93.99635036
36,Complex,TRUE,0.59932512,7.995425423,8.008481423,0.013056,92.41421569,88.7377451,99.15441176,10.41666667,3.334319387,-353.3166109,2.177019508,-101.1448068,0.532653446,93.02696078
37,Upward,TRUE,0.800646663,8.318749409,8.332273409,0.013524,87.71604938,82.31481481,94.66049383,12.34567901,4.407166451,855.1408317,2.024235285,-91.32995878,0.679276023,94.66049383
38,2Syllabes,TRUE,0.672866881,8.628640697,8.676064697,0.047424,67.61437908,55.76797386,94.16666667,38.39869281,11.87508768,395.7039596,2.094207865,-95.76682045,0.471160886,93.3496732
39,Upward,TRUE,0.648872018,8.795981449,8.806413449,0.010432,68.08090491,64.62998466,71.53182515,6.901840491,2.641719976,608.6540205,1.081319442,-109.2783258,0.365628733,66.16372699
40,Upward,TRUE,0.605459511,8.984049464,8.988465464,0.004416,97.46852518,91.17356115,110.9577338,19.78417266,7.274976678,108.6087652,6.781114453,-102.8483736,0.437475827,96.5692446
41,Frequency_Step,TRUE,0.669032335,9.893356123,9.922888123,0.029532,67.55787037,57.71990741,98.22916667,40.50925926,14.9081959,781.2262827,2.303381795,-96.32160397,0.482865679,91.28472222
42,2Syllabes,TRUE,0.763593376,10.38586811,10.43476811,0.0489,72.62957317,55.09908537,92.44664634,37.34756098,11.38538468,463.0338003,2.036062337,-95.49599854,0.463973406,80.25152439
43,2Syllabes,TRUE,0.661213934,10.57288013,10.63430013,0.06142,66.45833333,47.64112903,81.24327957,33.60215054,9.264689969,243.0039551,1.883822399,-96.09431499,0.447045674,81.24327957
44,2Syllabes,TRUE,0.740425169,10.75155211,10.80659211,0.05504,65.67934783,53.25698758,95.95885093,42.70186335,12.48868596,395.3676429,2.154654724,-96.04129311,0.425900839,88.19487578
45,2Syllabes,TRUE,0.694922566,10.92216455,10.98098455,0.05882,68.08908046,59.4683908,92.51436782,33.04597701,9.767869713,383.5862763,1.604352098,-90.1521831,0.553969341,82.45689655
46,2Syllabes,TRUE,0.764634609,11.13989975,11.19702775,0.057128,65.30927835,56.93298969,94.94845361,38.01546392,5.688924178,55.39625327,2.694903876,-89.72686119,0.571815907,65.95360825
47,Frequency_Step,TRUE,0.61398977,11.31702418,11.37897618,0.061952,67.4805791,55.47492938,97.14159605,41.66666667,12.44967664,2.934807391,3.70663046,-95.63347638,0.454442359,92.90430791
48,2Syllabes,TRUE,0.713168323,11.606644,11.663044,0.0564,65.23313492,56.63525132,95.65641534,39.02116402,6.642256195,20.13867295,2.628856444,-89.34823935,0.569130147,65.89451058
49,Frequency_Step,TRUE,0.601723194,11.783796,11.845748,0.061952,67.18043785,53.05614407,96.8414548,43.78531073,12.17121255,-39.23474781,3.952052501,-95.33612103,0.441082467,93.31038136
50,Composite,TRUE,0.649436116,11.98623095,12.03927095,0.05304,66.49038462,60.08012821,92.7724359,32.69230769,4.192815739,-29.67087438,1.718762312,-98.38026707,0.352457325,92.7724359
51,Complex,TRUE,0.675329387,12.16092294,12.18621094,0.025288,66.53681507,65.39526256,67.67836758,2.283105023,0.581789031,-55.62998599,1.099281293,-97.71248175,0.391419548,66.53681507
52,Composite,TRUE,0.619448721,12.29059091,12.32992691,0.039336,68.02083333,63.02083333,103.8541667,40.83333333,13.15999001,652.0978147,3.622050501,-97.54595221,0.445120194,95.52083333
53,Downward,TRUE,0.606424928,12.45973787,12.50852987,0.048792,91.39018692,83.5046729,105.1168224,21.61214953,4.908878516,-273.935816,1.532895179,-97.4940202,0.435246026,89.92990654
54,Chevron,TRUE,0.566350102,12.6275219,12.6441539,0.016632,83.21263228,80.56712963,87.8422619,7.275132275,1.895990171,-362.9355465,1.154620144,-94.82910382,0.598298811,84.5353836
