ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.816322923,5.026850004,5.055866004,0.029016,109.4238925,103.0136361,111.0264566,8.012820513,2.474546103,-244.0386894,1.181684543,-102.3338242,0.344667881,109.9580805
2,Composite,TRUE,0.661391735,5.296367571,5.327111571,0.030744,60.12295082,58.07377049,112.3770492,54.30327869,17.55598291,1313.907907,1.476537424,-103.9179753,0.280991947,60.12295082
3,Downward,TRUE,0.755193055,40.29108388,40.32218788,0.031104,57.83980068,48.58054142,67.67776364,19.09722222,4.674931019,-526.0637226,1.316699301,-94.01277326,0.525770718,67.09905994
4,Downward,TRUE,0.809933841,40.44007356,40.48666556,0.046592,68.68055556,55.90277778,70.34722222,14.44444444,3.847459418,-214.679116,1.293817778,-80.51242336,0.786928155,70.34722222
5,Complex,TRUE,0.897184312,40.64466615,40.71645415,0.071788,62.06439394,60.17045455,63.01136364,2.840909091,1.08019733,-32.87379417,1.006075184,-68.44868298,0.859491482,63.01136364
6,Downward,TRUE,0.876691043,40.88973277,40.95783277,0.0681,62.38298458,49.16712555,65.68694934,16.51982379,3.670456749,-34.83238997,1.248533645,-70.02966495,0.775929481,65.13628855
7,Composite,TRUE,0.686963916,41.13458192,41.18538992,0.050808,59.26592074,53.27277005,113.2042769,59.93150685,7.676786581,-154.149975,3.533557705,-98.00798097,0.349287683,60.9782495
8,Composite,TRUE,0.723032951,41.37317942,41.41013942,0.03696,61.30681818,60.17045455,119.2613636,59.09090909,27.65315243,2131.274862,1.447191877,-101.1540258,0.335075293,61.30681818
9,Composite,TRUE,0.580675423,41.59558067,41.62486067,0.02928,60.66890496,57.5697314,116.4540289,58.88429752,24.1940791,2021.839901,3.992109277,-103.6627703,0.264201513,60.66890496
10,Harmonic,TRUE,0.812244654,41.77849683,41.84157683,0.06308,65.95808383,50.98802395,67.45508982,16.46706587,3.427921787,-89.5143895,1.145979669,-68.04406325,0.776648716,66.70658683
11,Harmonic,TRUE,0.603367984,41.96160675,42.05158275,0.089976,66.53963415,53.58231707,69.58841463,16.00609756,5.72374826,-197.8785496,1.065688907,-60.75866341,0.817035871,68.82621951
12,Harmonic,TRUE,0.785900414,42.16217375,42.24054175,0.078368,64.66391509,45.27188155,69.38089623,24.10901468,6.622846366,-260.0753986,1.033027469,-63.14644868,0.849865299,65.45007862
13,Harmonic,TRUE,0.663344085,42.35845345,42.44557345,0.08712,67.09337349,49.02108434,70.85843373,21.8373494,5.370625748,-198.6861388,1.039756597,-51.41301671,0.871446137,69.35240964
14,Harmonic,TRUE,0.697921276,42.56216181,42.65215781,0.089996,60.75657895,59.11184211,61.57894737,2.467105263,0.865695583,-8.671244394,1.01447878,-58.20177622,0.882648952,61.57894737
15,Harmonic,TRUE,0.879447758,42.76813235,42.83293235,0.0648,67.1647351,49.78062914,69.64817881,19.86754967,4.489303815,-212.2149048,1.088816725,-61.51451095,0.880595913,65.50910596
16,Harmonic,TRUE,0.788805425,42.97095415,43.05259415,0.08164,66.36100106,65.56986182,69.52555802,3.955696203,1.256424955,-33.59282163,1.015551401,-65.32685923,0.840284826,67.94327954
17,Harmonic,TRUE,0.592442513,43.16973944,43.23151544,0.061776,67.53472222,49.30555556,68.40277778,19.09722222,3.801235099,-152.4611334,1.126378571,-66.6050902,0.799057042,62.32638889
18,Harmonic,TRUE,0.9505018,43.38977141,43.48121941,0.091448,60.48157572,46.59268683,66.65441523,20.0617284,4.578385764,-151.0801116,1.100603165,-58.02792268,0.88701967,65.88281029
19,Harmonic,TRUE,0.609661937,43.61234865,43.68984865,0.0775,65.58618695,44.1025641,69.74358974,25.64102564,6.91030151,-287.0422064,1.036183225,-58.2923798,0.85388244,67.33974359
20,Harmonic,TRUE,0.864165664,43.82149715,43.89199715,0.0705,66.10035211,54.95011737,68.74119718,13.79107981,3.924534446,-183.0671966,1.012778954,-56.76851078,0.898837678,68.74119718
21,Harmonic,TRUE,0.839492381,44.03775603,44.10525203,0.067496,69.02777778,52.53472222,69.89583333,17.36111111,3.582006303,-79.86435432,1.162657738,-58.78733436,0.879715844,69.89583333
22,Composite,TRUE,0.710798085,44.25195769,44.32471369,0.072756,58.78696028,43.22115385,66.29807692,23.07692308,7.374001964,-320.3851182,1.080793867,-74.41203803,0.784198975,64.375
23,Composite,TRUE,0.743628025,44.44252321,44.48869521,0.046172,59.79166667,48.85416667,112.3958333,63.54166667,9.205208576,-433.5759385,1.477919331,-80.74085212,0.71616993,61.35416667
24,Composite,TRUE,0.758974254,44.63505114,44.67761114,0.04256,60.9375,48.66071429,63.16964286,14.50892857,2.445608879,-153.4039951,1.105113348,-65.13309981,0.865591283,62.05357143
25,Composite,TRUE,0.666281462,44.82108231,44.89892231,0.07784,57.98537234,45.13076241,66.85062057,21.71985816,5.999388399,-241.8681025,1.107706684,-75.48055097,0.731345597,66.85062057
26,Composite,TRUE,0.671545744,45.0277909,45.0928149,0.065024,58.9138191,55.22044574,62.00339147,6.782945736,2.645084876,-136.5647191,1.007685922,-89.03607329,0.541374644,60.06540698
27,Composite,TRUE,0.612996101,45.23149677,45.31199677,0.0805,56.94444444,55.40123457,61.57407407,6.172839506,2.472507861,-99.79770845,1.007284772,-83.1075315,0.628850415,60.80246914
28,Composite,TRUE,0.724037886,45.45210527,45.50452127,0.052416,60.03294839,45.07568343,62.16970053,17.09401709,3.488974215,-197.902356,1.16987917,-84.34746616,0.6726258,61.10132446
29,Composite,TRUE,1,45.6636747,45.6992907,0.035616,61.70075376,50.69446445,119.8768544,69.18238994,23.10462293,-106.4006345,5.683484531,-107.5606058,0.192548149,61.70075376
30,Downward,TRUE,0.663974762,45.8535032,45.9042672,0.050764,61.51827657,51.18173811,63.68173811,12.5,3.376724344,-203.9794291,1.224074078,-101.0977861,0.409439644,63.20096888
31,Harmonic,TRUE,0.894200921,46.06677774,46.14055374,0.073776,59.75498826,42.14935446,70.905223,28.75586854,5.671784865,-220.592033,2.116145321,-79.68932566,0.762837417,62.68926056
32,Downward,TRUE,0.633987725,46.27424167,46.33990567,0.065664,62.22161572,49.12117904,67.680131,18.55895197,2.86145129,-96.93952398,1.440925283,-78.45547998,0.779927052,63.31331878
33,Downward,TRUE,1,46.35397556,46.37260756,0.018632,50.45000557,41.55402017,52.95912966,11.40510949,3.915482853,-368.1340095,2.970509818,-83.34107284,0.711509029,51.13431214
34,Composite,TRUE,0.667706668,46.49224228,46.56298228,0.07074,58.98674242,36.57512626,66.5625,29.98737374,7.737527967,-317.4678139,1.06688717,-77.50772297,0.773213697,66.5625
