ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.698092401,4.789794286,4.803258286,0.013464,54.44444444,50.65656566,55.70707071,5.050505051,1.55018059,-339.8541835,1.172754678,-103.2172448,0.387932376,55.70707071
2,Upward,TRUE,0.729555726,7.657724862,7.668532862,0.010808,93.59213918,91.65914948,96.81378866,5.154639175,1.88640478,371.6439918,1.170451033,-103.2201451,0.462141997,94.23646907
3,Complex,TRUE,0.5491786,16.09215251,16.09859651,0.006444,65.58100085,57.94211196,67.66433418,9.722222222,3.274460814,-1287.314486,1.389942648,-102.0831789,0.337370801,60.02544529
4,Chevron,TRUE,0.619435787,16.28569504,16.31667104,0.030976,71.6490113,53.28742938,73.76765537,20.48022599,8.890186732,-765.8228546,1.278720435,-96.9238254,0.430133219,73.76765537
5,Complex,TRUE,0.636111915,16.84357811,16.88197811,0.0384,66.93594398,61.74922199,74.19735477,12.44813278,2.803059836,-123.1823229,1.807020565,-100.3098193,0.424600907,66.41727178
6,Upward,TRUE,0.788055122,17.01406872,17.06527272,0.051204,66.9890873,61.78075397,73.18948413,11.40873016,3.797408706,-234.3104615,1.324918945,-80.98977631,0.751344579,72.19742063
7,Upward,TRUE,0.70329684,17.18062058,17.22802058,0.0474,69.13128931,61.26965409,85.64072327,24.37106918,4.766815156,-254.6321077,1.475681797,-83.98305446,0.686693249,66.77279874
8,Upward,TRUE,0.72039777,17.36872762,17.39931962,0.030592,68.75,62.5,69.27083333,6.770833333,1.762008938,-155.3203359,1.18992651,-80.50565597,0.801616844,69.27083333
9,Upward,TRUE,0.838771284,17.54005531,17.58735931,0.047304,69.00568182,59.34659091,73.55113636,14.20454545,3.925972227,-256.6359198,1.313956858,-85.52752145,0.68373296,72.98295455
10,Composite,TRUE,0.655753434,17.79607806,17.80177806,0.0057,60.18092105,53.60197368,104.5888158,50.98684211,18.81711968,5601.998417,4.863520192,-97.15675979,0.464027491,56.89144737
