ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Complex,TRUE,0.671023369,0.919632216,0.937832216,0.0182,66.07954545,61.81818182,75.3125,13.49431818,3.914931944,347.4947671,1.50577641,-100.8070114,0.378682935,75.3125
2,Upward,TRUE,0.605597675,1.078289709,1.081929709,0.00364,74.14837786,61.26669847,77.48807252,16.22137405,5.421805289,3888.446159,1.125724124,-99.78160335,0.460551052,74.6254771
3,Chevron,TRUE,0.659694731,26.35339865,26.36851865,0.01512,67.51947055,60.84951008,68.75464842,7.90513834,2.379548065,-268.8616619,1.91162785,-99.35834457,0.497454999,68.75464842
4,Chevron,TRUE,0.799305201,26.56782555,26.58956155,0.021736,69.48863636,61.11543062,73.67523923,12.55980861,2.684990147,-254.1947266,2.058128815,-95.73271122,0.595192488,70.08672249
5,Downward,TRUE,0.807812512,30.17753215,30.21275615,0.035224,69.40768828,64.17756276,74.11480126,9.937238494,2.492428388,-231.361005,1.235287932,-86.22767283,0.735568244,72.02275105
6,Complex,TRUE,0.889926672,30.34693942,30.40785142,0.060912,67.61704947,62.75839223,73.80079505,11.04240283,2.897830406,-106.5992753,1.685886983,-82.62292354,0.799811316,72.91740283
7,Complex,TRUE,0.727591872,30.52549434,30.57092234,0.045428,69.23336331,66.31070144,72.15602518,5.845323741,1.611139678,-41.5973467,1.430917819,-86.47288889,0.731828866,72.15602518
8,Complex,TRUE,0.80280292,30.70442641,30.74906641,0.04464,67.91917671,59.88704819,74.94728916,15.06024096,4.783237657,-170.0643441,2.390498754,-93.29165942,0.583815321,70.9312249
9,Upward,TRUE,0.765297294,30.8972429,30.9138509,0.016608,68.49497126,62.02945402,71.36853448,9.33908046,3.399322977,505.8703911,1.389961222,-93.48735646,0.618818277,71.36853448
10,Upward,TRUE,0.707278967,31.05302139,31.06172139,0.0087,67.18321918,56.48116438,70.17979452,13.69863014,4.761472349,1235.186446,2.063570419,-99.89520729,0.508979156,68.46746575
11,Complex,TRUE,0.733535945,31.20744071,31.22240071,0.01496,64.31985294,61.37867647,69.46691176,8.088235294,2.493289406,463.7259461,1.23521584,-89.29197584,0.705671522,69.46691176
12,Upward,TRUE,0.52361083,31.37768021,31.38089621,0.003216,62.95138889,52.7662037,66.65509259,13.88888889,5.151376299,4256.988865,1.022728725,-106.1127716,0.364116548,61.09953704
13,Downward,TRUE,0.599081457,32.49614652,32.51487852,0.018732,61.20535714,57.85714286,62.32142857,4.464285714,1.389497723,-216.1165628,1.176856969,-103.0630646,0.463625409,60.08928571
14,Upward,TRUE,0.656277895,32.88303392,32.90043392,0.0174,56.67025862,48.04956897,67.01508621,18.96551724,7.009622096,969.158102,1.738729893,-104.3055678,0.399082347,66.15301724
15,Complex,TRUE,0.743133485,33.04923156,33.07111956,0.021888,67.0494186,59.78197674,69.22965116,9.447674419,3.265757583,-181.1065057,1.500967608,-95.44157938,0.577940393,67.77616279
16,Complex,TRUE,0.615076602,33.52982654,33.55107854,0.021252,60.37808642,52.27623457,73.1095679,20.83333333,5.956237582,367.0403896,2.017132572,-102.2657274,0.378599886,70.02314815
17,Downward,TRUE,1,39.94534631,39.95782631,0.01248,61.37282247,58.96897632,61.7734635,2.804487179,0.949627568,-186.7790329,1.211550915,-99.40314599,0.524919049,61.7734635
18,Downward,TRUE,0.775304675,40.11279818,40.15278218,0.039984,67.13414634,53.1097561,73.23170732,20.12195122,5.091163483,-278.8776917,2.214791391,-86.49706743,0.71606639,70.79268293
19,Downward,TRUE,0.751013875,40.29632646,40.32471846,0.028392,70.22370219,57.24556011,74.32206284,17.07650273,4.190729677,-310.9122634,1.411154091,-85.9366096,0.742839627,72.27288251
20,Complex,TRUE,0.620127261,40.85591421,40.91182621,0.055912,67.99586777,55.59917355,71.09504132,15.49586777,3.894230142,-170.9742459,1.721330236,-98.2085405,0.443160525,71.09504132
21,Complex,TRUE,0.837337852,41.02375927,41.05979527,0.036036,67.28594322,63.85187729,70.72000916,6.868131868,2.014933947,-164.1323555,1.449846714,-90.23894681,0.638933837,69.34638278
22,Downward,TRUE,0.800940156,41.21687715,41.26237315,0.045496,69.25925926,64.11522634,72.8600823,8.744855967,2.443679642,-164.1181918,1.25665167,-85.00801309,0.74205879,71.31687243
23,Complex,TRUE,0.871754169,41.41778953,41.45896153,0.041172,68.18207763,58.47888128,72.74828767,14.26940639,4.599387,-312.1662281,1.649927973,-90.93656621,0.638538746,72.74828767
24,Complex,TRUE,0.790818334,41.60987488,41.64443488,0.03456,68.79381919,63.72001845,72.48385609,8.763837638,1.80036181,-9.421050093,1.976683401,-89.63953578,0.703626291,69.2550738
25,Complex,TRUE,0.674001813,43.350507,43.369227,0.01872,62.30229592,59.11352041,66.76658163,7.653061224,2.182390132,309.4433039,1.20218395,-96.27023768,0.556675869,66.76658163
26,Downward,TRUE,0.726423144,43.51502517,43.53622917,0.021204,68.29215116,56.66424419,70.47238372,13.80813953,4.28005287,-483.14542,1.465520885,-96.6081626,0.570105946,69.74563953
27,Downward,TRUE,0.669745624,45.64914413,45.66929613,0.020152,66.76630435,63.50543478,67.85326087,4.347826087,1.029591244,-131.9133377,1.186737234,-81.16778565,0.790779542,66.22282609
