ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.812539935,0.085532003,0.124724003,0.039192,65.66296729,54.56483645,70.91997664,16.35514019,5.749791762,-429.3580596,1.43097943,-91.64040437,0.632318162,66.83119159
2,2Syllabes,TRUE,0.665673494,0.330144003,0.354112003,0.023968,62.47079439,56.6296729,96.34929907,39.71962617,16.20813781,1707.969577,1.4968966,-91.20649933,0.587767218,96.34929907
3,Downward,TRUE,0.595364749,0.54125866,0.55594666,0.014688,87.01981707,81.5320122,89.45884146,7.926829268,2.222604863,-466.7035834,1.119233997,-104.2824057,0.356589339,87.01981707
4,Downward,TRUE,0.768575132,0.987681355,1.012365355,0.024684,60.87101064,52.22739362,62.86569149,10.63829787,3.224880079,-417.4345955,1.197651545,-98.32814826,0.526174079,62.20079787
5,2Syllabes,TRUE,0.591071665,4.466234695,4.500254695,0.03402,94.12828947,74.72039474,97.74671053,23.02631579,8.425918921,-508.9858708,2.700768666,-96.83413545,0.490944891,96.43092105
6,Downward,TRUE,0.784362316,4.688605537,4.739045537,0.05044,67.56410256,44.48717949,77.82051282,33.33333333,8.561577968,-371.0002364,2.628495485,-88.80830003,0.658708417,72.69230769
7,Downward,TRUE,0.649410069,4.914899918,4.965971918,0.051072,71.45833333,63.68055556,76.45833333,12.77777778,3.016402373,-174.325962,1.599245435,-86.5159304,0.687248044,71.45833333
8,Downward,TRUE,0.880991936,5.117363884,5.165275884,0.047912,68.3960177,52.35619469,71.71460177,19.35840708,3.845128156,-180.5299003,1.617403863,-76.9580357,0.825414854,68.3960177
9,Frequency_Step,TRUE,0.68245405,5.322784122,5.383600122,0.060816,74.71840659,48.61950549,78.15247253,29.53296703,8.498652203,-284.3500934,1.664352892,-70.65097569,0.847445415,76.09203297
10,Harmonic,TRUE,0.67486608,5.527077171,5.595009171,0.067932,60.60876623,49.24512987,64.66720779,15.42207792,3.907773,-65.15455089,1.138289826,-60.59133148,0.875546365,61.42045455
11,Downward,TRUE,0.828618884,5.761034621,5.796466621,0.035432,65.15654387,51.87151971,66.96813807,15.09661836,3.578306779,-252.0802774,1.193237112,-63.2743314,0.840051131,64.55267913
12,Harmonic,TRUE,0.671516359,5.984923053,6.032083053,0.04716,61.78977273,41.90340909,100.6155303,58.71212121,6.965339088,-245.7493976,2.683759087,-71.59120626,0.791972485,59.89583333
13,Composite,TRUE,0.645040691,6.217993337,6.269401337,0.051408,58.1737013,46.81006494,60.60876623,13.7987013,2.846020176,-117.4919663,1.154644489,-60.40711215,0.879702408,58.98538961
14,Composite,TRUE,0.649286032,6.3746638,6.4357038,0.06104,61.37189716,48.07402482,79.98891844,31.91489362,4.121348295,-48.45267631,2.38561437,-76.0064199,0.744130379,59.59884752
15,Composite,TRUE,0.619867563,6.605746545,6.656342545,0.050596,57.85714286,55.17857143,114.1071429,58.92857143,14.37631774,180.4526906,2.710118296,-96.38670997,0.37259406,58.75
16,Composite,TRUE,0.686876893,6.798012235,6.863676235,0.065664,56.3623366,36.75449346,118.4538399,81.69934641,23.10098042,-483.3651432,5.483787828,-95.83250445,0.410087654,46.55841503
17,Composite,TRUE,0.756075203,6.986410478,7.065346478,0.078936,58.10751748,33.63199301,59.85576923,26.22377622,5.527154351,-185.5746523,1.093780625,-72.57372699,0.801133195,58.10751748
18,Composite,TRUE,0.768687427,7.197309536,7.276189536,0.07888,114.5992366,58.73755961,119.833619,61.09605936,15.54901849,225.2233715,1.483449858,-97.57081099,0.366057104,104.325264
