ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Complex,TRUE,0.673305273,0.258964004,0.286364004,0.0274,65.34090909,64.43181818,67.15909091,2.727272727,1.050534935,-119.3858858,1.094308224,-73.58333749,0.845534479,67.15909091
2,Upward,TRUE,0.633112788,0.429331997,0.447055997,0.017724,62.49410377,60.72523585,67.21108491,6.485849057,1.708888767,242.0092304,1.25023975,-82.09802063,0.726362377,64.85259434
3,Downward,TRUE,0.726283312,0.94793177,0.97968377,0.031752,63.72189153,48.51025132,65.70601852,17.1957672,4.280323355,-27.87530912,1.948752108,-89.26063261,0.655384126,65.04464286
4,Downward,TRUE,1,0.995918489,1.002122489,0.006204,52.12941909,44.5939581,53.45920632,8.865248227,3.181474125,-1275.069179,1.301732884,-95.76588597,0.529273684,53.45920632
5,Downward,TRUE,0.796604753,1.150347817,1.194347817,0.044,60.45816733,52.98804781,63.44621514,10.45816733,3.318430426,-227.4826911,1.248250127,-91.23123965,0.555956532,63.44621514
6,Complex,TRUE,0.815044999,1.324055591,1.371023591,0.046968,63.14516129,59.51612903,64.35483871,4.838709677,1.025410169,-24.23644756,1.312411352,-73.55618438,0.85712799,62.74193548
7,Chevron,TRUE,0.661806047,2.935023069,2.954787069,0.019764,71.7798913,62.60869565,76.19565217,13.58695652,3.760464379,101.8058456,1.958765527,-97.52323861,0.470061223,71.44021739
8,Composite,TRUE,0.596186638,2.986679144,3.010487144,0.023808,60.34610215,53.62567204,110.0772849,56.4516129,11.89258102,961.0285275,1.863122554,-100.7532284,0.316510463,84.53965054
9,Downward,TRUE,0.694350183,3.146515095,3.180259095,0.033744,65.8004386,59.76973684,70.18640351,10.41666667,2.984297661,-261.665478,1.317037291,-77.79343262,0.821204734,65.25219298
10,Complex,TRUE,0.62084645,3.20178317,3.22586717,0.024084,59.609375,57.09821429,61.00446429,3.90625,1.33581194,-44.51454568,1.214777403,-82.99792454,0.785832753,61.00446429
11,Composite,TRUE,0.693925083,3.360275117,3.426579117,0.066304,62.7027027,50.03378378,112.5337838,62.5,7.664053243,-141.2417055,1.922701834,-86.09004863,0.576857539,66.08108108
12,Complex,TRUE,0.831727684,3.549190975,3.609082975,0.059892,65.53325688,54.06536697,71.84059633,17.77522936,5.195357077,-219.4604419,2.078879277,-86.73786273,0.656259795,67.82683486
13,Upward,TRUE,0.699209213,3.756738889,3.810090889,0.053352,69.67420213,59.03590426,73.39760638,14.36170213,2.742006437,178.1686131,1.164670642,-83.73296024,0.751384115,65.95079787
14,2Syllabes,TRUE,0.515515685,3.953261397,3.959925397,0.006664,65.7260101,59.41287879,98.55429293,39.14141414,14.84180531,-5281.884152,2.367400988,-97.22766119,0.474149397,96.0290404
15,2Syllabes,TRUE,0.600155711,4.646834682,4.656242682,0.009408,68.70535714,58.28869048,101.4434524,43.1547619,16.53431619,-3490.723054,2.779667959,-101.1930467,0.368438418,67.2172619
